FECHA_CORTE;ITEM;NOMBRE_DEL_CLUB;DISCIPLINA_DEPORTIVA;CONDICION;N°_DE_RESOLUCION_INSCRIPCION_PRIMIGENIA;FECHA_DE_REGISTRO;OBSERVACIONES;;
20240229;31;CLUB DEPORTIVO LA ALAMEDA;AJEDREZ;AFILIADO;722-DNCTD-RND-2007;25/10/2007;;;
20240229;32;CLUB DEPORTIVO REAL TACNA;AJEDREZ;AFILIADO;723-DNCTD-RND-2007;25/10/2007; 0391-DNCTD-RND-2021, Periodo 09 de mayo de 2021 al 09 de mayo de 2025;;
20240229;33;CLUB SOCIAL DEPORTIVO SPORTING TABACO;AJEDREZ;AFILIADO;778-DNCTD-RND-2007;04/12/2007;;;
20240229;34;CLUB SPORT SHEREKHAN;AJEDREZ;AFILIADO;784-DNCTD-RND-2007;05/12/2007;;;
20240229;35;CLUB DEPORTIVO ASOCIACIÓN TU SAN;AJEDREZ;AFILIADO;067-DNCTD-RND-2008;29/01/2008;;;
20240229;36;ASOCIACIÓN DEPORTIVA DEL CLUB SOCIAL DEPORTIVO UNIVERSIDAD NACIONAL HERMILIO VALDIZÁN DE HUÁNUCO;AJEDREZ;AFILIADO;079-DNCTD-RND-2008;07/02/2008;;;
20240229;37;CLUB ALFONSO UGARTE;AJEDREZ;AFILIADO;164-DNCTD-RND-2009;31/03/2009; 0459-2021-IPD-DNCTD/RND, Periodo 17 de mayo del 2021 al 16 de mayo del 2025;;
20240229;38;UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA;AJEDREZ;AFILIADO;251-DNCTD-RND-2009;10/06/2009;;;
20240229;39;CLUB GARRY KASPAROV;AJEDREZ;AFILIADO;416-DNCTD-RND-2009;30/10/2009;;;
20240229;40;CLUB DE AJEDRES LOS 4 ALFILES;AJEDREZ;AFILIADO;005-DNCTD-RND-2011;11/01/2011;;;
20240229;41;CIRCULO PERUANO DE AJEDREZ SAC;AJEDREZ;AFILIADO;006-DNCTD-RND-2011;17/01/2011;;;
20240229;42;INSTITUCIÓN EDUCATIVA PRIVADA CLARETIANO DE LIMA;AJEDREZ;AFILIADO;018-DNCTD-RND-2011;27/01/2011;;;
20240229;43;INSTITUCIÓN EDUCATIVA PRIVADA CEINE VIRGEN DEL SOCORRO;AJEDREZ;AFILIADO;024-DNCTD-RND-2011;04/02/2011;;;
20240229;44;ASOCIACIÓN CULTURAL Y DEPORTIVA DE CHIMBOTE;AJEDREZ;AFILIADO;258-DNCTD-RND-2011;21/11/2011; 0235-DNCTD-RND-2021, Periodo del 09 de setiembre de 2019 al 08 de setiembre de 2023 (4 años);;
20240229;45;ASOCIACIÓN CULTURAL Y DEPORTIVA EUFEMIA ORDOÑEZ;AJEDREZ;AFILIADO;256-DNCTD-RND-2011;21/11/2011;;;
20240229;46;REYDAMA CHIMBOTE;AJEDREZ;AFILIADO;257-DNCTD-RND-2011;21/11/2011;"0614-2022-IPD-DNCTD/SRND.
periodo del 20 de mayo de 2022 al 19 de mayo de 2024 (2 años).";;
20240229;47;ASOCIACIÓN CLUB CARO KANN ILEÑO;AJEDREZ;AFILIADO;671-DINADAF-RND-2016;18/10/2016; 0378-DNCTD-RND-2021, Periodo 31 de mayo de 2021 al 31 de diciembre de 2024;;
